STATE,REGION,OFFENCE CATEGORY,OFFENCE SUBCATEGORY,NUMBER
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,6
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,64
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,PERJURY,1
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,5
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,23
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,25
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,7
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,THEFT /STEALING,357
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,BURGLARY,4
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,16
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,STORE BREAKING,44
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,234
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,FORGERY,10
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,4
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,11
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,ARSON,4
BORNO,NORTH EAST,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,191
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,MURDER,123
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,48
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,12
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,SUICIDE,45
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,3
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,73
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,ASSAULT,39
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,CHILD STEALING,0
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,97
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,KIDNAPPING,2
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,45
BORNO,NORTH EAST,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,194
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,2
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,1
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,PERJURY,0
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,0
BORNO,NORTH EAST,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,112
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,4
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,THEFT /STEALING,624
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,BURGLARY,28
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,25
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,STORE BREAKING,19
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,131
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,FORGERY,11
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,5
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,31
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,ARSON,16
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,152
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MURDER,87
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,0
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,22
CROSS RIVER,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SUICIDE,0
